"V1","V2","V3"
"#1","#1","1"
"#1","A-K","0"
"#1","Ace of Spades","0"
"#1","Acid","0"
"#1","Afghan\/Skunk","0"
"#1","Afghani Hawaiian","0"
"#1","Afgoo","0"
"#1","Agent Orange","0"
"#1","Alaskan Ice","0"
"#1","Alien Dawg","0"
"#1","Alien Kush","0"
"#1","Alien OG","0"
"#1","Animal Cookies","0"
"#1","Apollo 13","0"
"#1","Banana Kush","0"
"#1","Berkeley","0"
"#1","Berkeley Blues","0"
"#1","Berry White","0"
"#1","Bio Diesel Mass","0"
"#1","Bio-Diesel","0"
"#1","Blackberry","0"
"#1","Blackberry Kush","0"
"#1","Blood Wreck","0"
"#1","Blowfish","0"
"#1","Blue Cheese","0"
"#1","Blue City Diesel","0"
"#1","Blue Diesel","0"
"#1","Blue Dream","0"
"#1","Blue Magoo","0"
"#1","Blue Widow","0"
"#1","Blueberry Kush","0"
"#1","Blueberry Line","0"
"#1","Blueberry OG","0"
"#1","Bruce Banner","0"
"#1","Bubba Kush","0"
"#1","Bubba OG","0"
"#1","California Sour","0"
"#1","Candy Kush","0"
"#1","Candyland","0"
"#1","Cannadential","0"
"#1","Cannalope Haze","0"
"#1","Cannatonic","0"
"#1","Casey Jones","0"
"#1","Cataract Kush","0"
"#1","Charles Kush","0"
"#1","Cheese Quake","0"
"#1","Chem Valley Kush","0"
"#1","Chemdog Sour Diesel","0"
"#1","Chemmy Jones","0"
"#1","Chernobyl","0"
"#1","Cherry Pie","0"
"#1","Chocolope","0"
"#1","Cinderella 88","0"
"#1","Cinderella 99","0"
"#1","Cinex","0"
"#1","Colombian Gold","0"
"#1","Cookies and Cream","0"
"#1","Corleone Kush","0"
"#1","Cotton Candy","0"
"#1","Critical Kush","0"
"#1","Critical Mass","0"
"#1","DNL","0"
"#1","Dairy Queen","0"
"#1","DeadHead OG","0"
"#1","Death Star","0"
"#1","Diesel","0"
"#1","Diesel Ryder","0"
"#1","Double Dawg","0"
"#1","Dutch Hawaiian","0"
"#1","Dynamite","0"
"#1","Fire OG","0"
"#1","Flo","0"
"#1","Floral Line","0"
"#1","Fruity Pebbles","0"
"#1","G-13 Haze","0"
"#1","G-13 Haze NYC Diesel","0"
"#1","Ghost Train Haze #1","0"
"#1","Girl Scout Cookies","0"
"#1","Glass Slipper","0"
"#1","God's Gift","0"
"#1","Golden Goat","0"
"#1","Gorilla Glue #4","0"
"#1","Grape God","0"
"#1","Grape Stomper","0"
"#1","Great White Shark","0"
"#1","Green Crack","0"
"#1","Green Ribbon","0"
"#1","HTAF","0"
"#1","Hash Plant x Northern Lights","0"
"#1","Hawaiian Haze","0"
"#1","Headband","0"
"#1","Hells Angel OG","0"
"#1","Holy Grail Kush","0"
"#1","Humboldt Snow","0"
"#1","J1","0"
"#1","Jack Flash","0"
"#1","Jack Herer","0"
"#1","Jack the Ripper","0"
"#1","Jedi Kush","0"
"#1","Jesus OG","0"
"#1","Jillybean","0"
"#1","Juicy Fruit","0"
"#1","KC 33","0"
"#1","Kandy Kush","0"
"#1","Kimbo Kush","0"
"#1","Kish","0"
"#1","Kong","0"
"#1","Kushberry","0"
"#1","LA Confidential","0"
"#1","LSD","0"
"#1","Larry OG","0"
"#1","Las Vegas Purple Kush","0"
"#1","Lee Roy","0"
"#1","Lemon Alien Dawg","0"
"#1","Lemon Diesel","0"
"#1","Lemon Haze","0"
"#1","Lemon Kush","0"
"#1","Lemon Thai","0"
"#1","Liberty Haze","0"
"#1","Lost Coast OG","0"
"#1","Lowryder #2","0"
"#1","Mango","0"
"#1","Mango Kush","0"
"#1","Mass","0"
"#1","Master Kush","0"
"#1","Mk-Ultra","0"
"#1","Mob Boss","0"
"#1","Moby Dick","0"
"#1","Moonshine Haze","0"
"#1","Motavation","0"
"#1","Mr. Nice","0"
"#1","NYC Diesel","0"
"#1","Nevil's Wreck","0"
"#1","Northern Lights x Haze","0"
"#1","Nuken","0"
"#1","OG Kush","0"
"#1","Obama Kush","0"
"#1","Ogre","0"
"#1","Orange Crush","0"
"#1","Orange Kush","0"
"#1","Orange Velvet","0"
"#1","Oriental Express","0"
"#1","Original Diesel","0"
"#1","Original Sour Diesel","0"
"#1","P50","0"
"#1","P75","0"
"#1","Permafrost","0"
"#1","Phantom Cookies","0"
"#1","Pineapple 99","0"
"#1","Pineapple Chunk","0"
"#1","Pineapple Express","0"
"#1","Pineapple Kush","0"
"#1","Pink Kush","0"
"#1","Pitbull","0"
"#1","Platinum Girl Scout Cookies","0"
"#1","Platinum Kush","0"
"#1","Platinum OG","0"
"#1","Plushberry","0"
"#1","Purple Afghani","0"
"#1","Purple Diesel","0"
"#1","Purple Elephant","0"
"#1","Purple Kush","0"
"#1","Purple Thai","0"
"#1","Purple Trainwreck","0"
"#1","Qrazy Train","0"
"#1","Querkle","0"
"#1","Rare Darkness","0"
"#1","ReCon","0"
"#1","Red Diesel","0"
"#1","Red Dragon","0"
"#1","Romulan","0"
"#1","Royal Kush","0"
"#1","S.A.G.E.","0"
"#1","Sage n Sour","0"
"#1","Short Term Amnesia","0"
"#1","Silver Haze","0"
"#1","Skywalker","0"
"#1","Skywalker OG","0"
"#1","Snow White","0"
"#1","Snowcap","0"
"#1","Sour Alien","0"
"#1","Sour Diesel","0"
"#1","Sour Kush","0"
"#1","Sour Maui","0"
"#1","Sour OG","0"
"#1","Sour Tsunami","0"
"#1","Sour Willie","0"
"#1","Space Queen","0"
"#1","Stardawg","0"
"#1","Starfighter","0"
"#1","Strawberry Cough","0"
"#1","Strawberry Diesel","0"
"#1","Strawberry Kush","0"
"#1","Sugar Plum","0"
"#1","Super Lemon Haze","0"
"#1","Super Skunk","0"
"#1","Sweet Pink Grapefruit","0"
"#1","Sweet Skunk","0"
"#1","Sweet Tooth","0"
"#1","Tahoe Alien","0"
"#1","Tahoe OG","0"
"#1","Tangerine Dream","0"
"#1","Tangerine Kush","0"
"#1","Tangie","0"
"#1","The Black","0"
"#1","The Flav","0"
"#1","Thin Mint Girl Scout Cookies","0"
"#1","Tres Dawg","0"
"#1","UK Cheese","0"
"#1","Ultra Sonja","0"
"#1","Vanilla Kush","0"
"#1","Vortex","0"
"#1","Warlock","0"
"#1","West Coast Dawg","0"
"#1","White Fire","0"
"#1","White Moonshine","0"
"#1","White Purple Urkel","0"
"#1","White Rhino","0"
"#1","White Russian","0"
"#1","White Widow","0"
"#1","William's Wonder","0"
"#1","Willie Nelson","0"
"#1","XJ-13","0"
"#1","green queen","0"
"#1","purple arrow","0"
"#1","wally og","0"
"#1","white nightmare","0"
"A-K","#1","0"
"A-K","A-K","1"
"A-K","Ace of Spades","0"
"A-K","Acid","0.03125"
"A-K","Afghan\/Skunk","0.25"
"A-K","Afghani Hawaiian","0.25"
"A-K","Afgoo","0.25"
"A-K","Agent Orange","0"
"A-K","Alaskan Ice","0"
"A-K","Alien Dawg","0"
"A-K","Alien Kush","0.125"
"A-K","Alien OG","0.0625"
"A-K","Animal Cookies","0"
"A-K","Apollo 13","0"
"A-K","Banana Kush","0"
"A-K","Berkeley","0"
"A-K","Berkeley Blues","0"
"A-K","Berry White","0"
"A-K","Bio Diesel Mass","0.03125"
"A-K","Bio-Diesel","0.03125"
"A-K","Blackberry","0.25"
"A-K","Blackberry Kush","0.125"
"A-K","Blood Wreck","0"
"A-K","Blowfish","0"
"A-K","Blue Cheese","0"
"A-K","Blue City Diesel","0.0625"
"A-K","Blue Diesel","0.015625"
"A-K","Blue Dream","0"
