strain,parent_info,parent_aaa_name,parent_bbb_name,parent_ccc_name,parent_ddd_name
Blue Dream,aaa x bbb,Blueberry,Super Silver Haze,,
Sour Diesel,aaa x bbb,Original Diesel,DNL,,
Girl Scout Cookies,aaa x bbb,OG Kush,Durban Poison,,
Green Crack,aaa x bbb,Skunk #1,Unknown Indica (Green Crack Parent),,
OG Kush,aaa x {bbb x ccc},Chem Dawg,Lemon Thai,"Hindu Kush, Pakistan (OG Kush Parent)",
Granddaddy Purple,aaa,"USA, Northern California (Granddaddy Purple Parent)",,,
White Widow,aaa x bbb,Brazil (White Widow Parent),India (White Widow Parent),,
Jack Herer,aaa x {bbb x ccc},Haze,Northern Lights #5,Shiva Skunk,
Bubba Kush,aaa x {bbb x ccc},OG Kush,West Coast Dawg,Old World Kush,
Trainwreck,aaa,USA (Trainwreck Parent),,,
AK47,aaa x bbb x ccc x ddd,Colombia (AK47 Parent),Mexico  (AK47 Parent),Thailand  (AK47 Parent),Afghanistan  (AK47 Parent)
Blue Cheese,aaa x bbb,Cheese,Blueberry,,
Pineapple Express,aaa x bbb,Trainwreck,Hawaii,,
Northern Lights,aaa,Afghanistan Indica (Northern Lights Parent),,,
Headband,aaa x bbb,Sour Diesel,OG Kush,,
Purple Kush,aaa x bbb,Hindu Kush,Purple Afghani,,
Durban Poison,aaa,Africa (Durban Poison Parent),,,
Lemon Haze,aaa x bbb,Lemon Skunk,Amnesia Haze,,
Alaskan Thunder Fuck,aaa,Matanuska Thunderfuck,,,
Strawberry Cough,aaa x bbb,Strawberry Fields,Haze,,
Blackberry Kush,aaa x bbb,Bubba Kush,Blackberry,,
Chem Dawg,aaa,Unknown Indica (Chem Dawg Parent),,,
Super Silver Haze,{(aaa x aaa) x bbb} x {(aaa x aaa) x ccc},Haze,Skunk #1,Northern Lights #5,
Grape Ape,aaa x bbb x ccc,Mendo Purps,Skunk #1,Afghanistan (Grape Ape Parent),
Blueberry,aaa,Blueberry Line,,,
Master Kush,aaa x bbb,Hindu Kush,Afghanistan (Master Kush Parent),,
Super Lemon Haze,aaa x bbb,Super Silver Haze,Lemon Skunk,,
Cheese,aaa,Skunk #1,,,
Gorilla Glue #4,aaa x bbb,Sour_Dubb,Chem Dawg,,
Cherry Pie,aaa x bbb,Granddaddy Purple,Durban Poison,,
Maui Waui,aaa,Hawaii (Maui Waui Parent),,,
Skywalker OG,aaa x bbb,OG Kush,Skywalker,,
Afghan Kush,aaa,Afghani,,,
Chocolope,bbb x aaa,Cannalope Haze,O.G. Chocolate Thai,,
G-13,aaa,Indica (G-13 Parent),,,
Purple Urkel,aaa,Mendo Purps,,,
God's Gift,aaa x bbb,OG Kush,Granddaddy Purple,,
LA Confidential,aaa x bbb,O.G. LA Affie,Afghani,,
Tahoe OG,aaa x bbb,OG Kush,SFV OG,,
White Rhino,aaa x bbb,White Widow,Afghanistan (White Rhino Parent),,
Skywalker,aaa x bbb,Mazar,Blueberry,,
Lemon Kush,aaa x bbb,Lemon G,"Afghanistan, Hindu Kush (Lemon Kush Parent)",,
Death Star,aaa x bbb,Sensi Star,Sour Diesel,,
Agent Orange,aaa x bbb,Orange Velvet,Jack the Ripper,,
Dutch Treat,aaa,Unknown Hybrid (Dutch Treat Parent),,,
NYC Diesel,aaa x bbb,Sour Diesel,Afghani Hawaiian,,
Cinderella 99,aaa x bbb,Princess,Cinderella 88,,
Purple Haze,aaa,Haze,,,
Harlequin,aaa x bbb x ccc x ddd,Colombian Gold,Thailand (Harlequin Parent),Swizerland (Harlequin Parent),Nepal (Harlequin Parent)
Hindu Kush,aaa,"Hindu Kush, India (Hindu Kush Parent)",,,
Mango,aaa x bbb,KC 33,Afghan,,
LSD,aaa x bbb,Mazar,Skunk #1,,
Golden Goat,aaa x {bbb x ccc},Island Sweet Skunk,Hawaii (Golden Goat Parent),Romulan,
Fire OG,aaa x bbb,SFV OG,OG Kush,,
Blueberry OG,aaa x bbb,OG Kush,Blueberry,,
Banana Kush,aaa x {bbb x ccc},Ghost OG,Skunk #1,Haze,
Cotton Candy,aaa x bbb,Lavender,Power Plant,,
Berry White,aaa x bbb,Blueberry,White Widow,,
Romulan,aaa x bbb,White Rhino,North American (Romulan Parent),,
Bubblegum,aaa,"USA, Unknown Hybrid (Bubblegum Parent)",,,
Mr. Nice,aaa x bbb,G-13,Hash Plant,,
Lamb's Bread,aaa,Jamaica (Lamb's Bread Parent),,,
Jillybean,aaa x bbb,Orange Velvet,Space Queen,,
Tangerine Dream,aaa x {aaa x bbb},G-13,Nevilles Haze,,
XJ-13,aaa x bbb,G-13,Jack Herer,,
Cinex,aaa x bbb,Cinderella 99,Vortex,,
Orange Kush,aaa x bbb,Orange Bud,OG Kush,,
Cannatonic,aaa x bbb,MK-Ultra,G-13 Haze,,
Lemon Skunk,aaa,Skunk #1,,,
Afgoo,aaa x bbb,Afghani,Hawaiian Haze,,
Island Sweet Skunk,aaa,Skunk #1,,,
Lavender,aaa x bbb x ccc,Super Skunk,Big Skunk Korean,Afghani Hawaiian,
Chernobyl,aaa x bbb,Blood Wreck,Jack the Ripper,,
$100 OG,aaa,OG Kush,,,
Pineapple Kush,aaa x bbb,Pineapple,Master Kush,,
Alien OG,aaa x bbb,Tahoe OG,Alien Kush,,
Silver Haze,{aaa x bbb} x ccc,Northern Lights,Skunk #1,Haze,
Juicy Fruit,aaa x bbb,Afghani,Thai (Juicy Fruit Parent),,
Platinum OG,aaa x bbb,Master Kush,OG Kush,,
Obama Kush,aaa x bbb,Skunk #1,OG Kush,Afghani,
Kosher Kush,aaa,Unknown Strain (Kosher Kush Parent),,,
Sour OG,aaa x bbb,Sour Diesel,SFV OG,,
Platinum Kush,aaa x bbb,Master Kush,Afghani,,
Larry OG,aaa x bbb,OG Kush,SFV OG,,
Animal Cookies,aaa x bbb,Girl Scout Cookies,Fire OG,,
Fruity Pebbles,{aaa x bbb} x ccc,Green Ribbon,Granddaddy Purple,Tahoe Alien,
Thin Mint Girl Scout Cookies,aaa x bbb,Durban Poison,OG Kush,,
Sensi Star,aaa,Mostly Indica (Sensi Star Parent),,,
Blackberry,aaa x bbb,The Black,Afghani,,
Purple Diesel,aaa x bbb,Purple Kush,Sour Diesel,,
Purple Trainwreck,aaa x bbb,Trainwreck,Mendo Purps,,
White Fire,aaa x bbb,Fire OG,The White,,
Holy Grail Kush,aaa x bbb,Kosher Kush,OG Kush,,
Snowcap,aaa x bbb,Humboldt Snow,Unknown Haze (Snowcap Parent),,
Sour Kush,aaa x bbb,OG Kush,Sour Diesel,,
White Russian,aaa x bbb,AK47,White Widow,,
Casey Jones,aaa x bbb,Oriental Express,East Coast Sour Diesel,,
Bruce Banner,aaa x bbb,OG Kush,Strawberry Diesel,,
J1,aaa x bbb,Skunk #1,Jack Herer,,
Space Queen,aaa x bbb,Romulan,Cinderella 99,,
Sweet Tooth,aaa x bbb,Sweet Pink Grapefruit,Blueberry,,
Afghani,aaa,Afghanistan (Afghani Parent),,,
Ace of Spades,aaa x bbb,Black Cherry Soda,Jack The Ripper,,
Acid,aaa x bbb,Diesel,Unknown Strain (Acid Parent),,
Afghani Kush,aaa,A-K,,,
Alaskan Ice,aaa x bbb,White Widow,Haze,,
Alien Dawg,aaa x bbb,Chem Dawg,Alien Technology,,
Amnesia,aaa,Super Silver Haze,,,
Amnesia Haze,aaa x bbb x ccc,Afghani Hawaiian,Laos (Amnesia Haze Parent),Jamaica (Amnesia Haze Parent),
Beastmode 2.0, ,White Fire,Master Kush,,
Bio-Diesel,{aaa x bbb} x {ccc x ddd},Sensi Star,Sour Diesel,Original Diesel,NYC Diesel
Black Cherry Soda,aaa,Unknown Strain (Black Cherry Soda Parent),,,
Blowfish,{aaa x bbb} x {aaa x ccc},G-13,Oregon Funk,Blue Dot,
Blue City Diesel,aaa x bbb,Blueberry,NYC Diesel,,
Blue Diesel,aaa x bbb,Bio Diesel Mass, Blueberry,,
Blue Magoo,aaa x bbb,Blueberry,Williams Wonder,,
Blue Widow,aaa x bbb,Blueberry,White Widow,,
Blueberry Kush,{aaa x bbb} x ccc,Blueberry,Hindu Kush,Lowryder,
Bubba OG,aaa x bbb,Bubba Kush,Ghost OG,,
Candy Kush,aaa x bbb,OG Kush, Pounder,,
Candyland,aaa x bbb,Platinum Girl Scout Cookies,Granddaddy Purple,,
Cataract Kush,aaa x bbb,LA Confidential,OG Kush,,
Cheese Quake,aaa x bbb,Cheese,Querkle,,
Chem Valley Kush,aaa x bbb,Chem Dawg,SFV OG,,
Chemmy Jones,aaa x bbb,Chem Dawg,Casey Jones,,
Cookies and Cream,{aaa x bbb} x ccc,Girl Scout Cookies,Unknown Strain (Cookies and Cream Parent),Starfighter,
Corleone Kush,aaa x bbb,Bubba Kush,SFV OG,,
Critical Kush,aaa x bbb,Critical Mass,OG Kush,,
Critical Mass,aaa x bbb,Afghanistan (Critical Mass Parent),Skunk #1,,
Dairy Queen,aaa x bbb,Cheese,Space Queen,,
DeadHead OG,aaa x bbb,Chem 91 Skunk VA,SFV OG,,
Dutch Hawaiian,aaa x bbb,Dutch Treat,Hawaiian (Dutch Hawaiian Parent),,
Dynamite,aaa x {aaa x bbb},Grapefruit,Unknown Strain (Dynamite Parent),,
East Coast Sour Diesel,aaa,Sour Diesel,,,
Elephant,aaa,Unknown Strain (Elephant Parent),,,
Flo,aaa x bbb,Purple Thai,Afghani,,
Ghost OG,aaa,OG Kush,,,
Ghost Train Haze #1,aaa x bbb,Ghost OG,Nevil's Wreck,,
Glass Slipper,aaa x bbb,Pineapple 99,Cinderella 99,,
God Bud,aaa x bbb x ccc,God,Hawaii (God Bud Parent),Purple Skunk,
Grape God,aaa x bbb,God Bud,Grapefruit,,
Grape Stomper,aaa x bbb,Purple Elephant,Chemdog Sour Diesel,,
Grapefruit,aaa,Unknown Hybrid (Grapefruit Parent),,,
Great White Shark,aaa x bbb,Super Skunk,White Widow,,
green queen,aaa x bbb,Green Crack,Space Queen,,
Hash Plant,aaa,"USA, California (Hash Plant Parent)",,,
ICE,aaa x bbb x ccc,Afghan,Skunk #1,Northern Light,
Jack Flash,aaa x {bbb x ccc},Jack Herer,Super Skunk,Haze,
Jack Frost,{aaa x bbb x ccc} x ddd,Jack Herer,White Widow,Northern Lights #5,Rainbow Kashmiri
Jack the Ripper,aaa x bbb,Jacks Cleaner,Space Queen,,
Jedi Kush,aaa x bbb,Death Star,SFV OG,,
Jesus OG,aaa x bbb,Hells Angel OG,Jack the Ripper,,
Kandy Kush,aaa x bbb,OG Kush,Trainwreck,,
Kimbo Kush,aaa xbbb,Blackberry Kush,Starfighter,,
Kong,aaa x bbb,Motavation,White Russian,,
Kushberry,aaa x bbb,Blueberry,OG Kush,,
Lee Roy,aaa x bbb,Triangle Kush,Rare Dankness,,
Lemon Diesel,aaa x bbb,California Sour,Lost Coast OG,,
Lemon Sour Diesel,{aaa x (bbb x ccc)} x ddd,OG Kush,Shishkeberry,Blueberry,Headband
Liberty Haze,aaa x bbb,Chem Dawg,G-13 Haze,,
Mango Kush,aaa x bbb,Mango,Hindu Kush,,
Matanuska Thunderfuck,aaa,Matanuska Valley,,,
Mob Boss,aaa x bbb,Chem Dawg,Tang Tang,,
Moby Dick,aaa x bbb,Haze,White Widow,,
Moonshine Haze,aaa x bbb,Amnesia Haze,Nevil's Wreck,,
Nuken,aaa x bbb,God Bud,Kish,,
Ogre,{aaa x bbb} x ccc,Short Term Amnesia,Hindu Kush,Durban Poison,
Orange Crush,aaa x bbb,Californian Orange,Blueberry,,
Papaya,aaa,Mango,,,
Permafrost,aaa x bbb,Trainwreck,White Widow,,
Phantom Cookies,aaa x bbb,Cherry Pie,Granddaddy Purple,,
Pineapple,aaa,Ed Rosenthal Super Bud,,,
Pineapple Chunk,aaa x bbb,Cheese,Pineapple,,
Pink Kush,aaa x bbb,King,King,,
Pitbull,aaa x bbb,P91,Sugar Plum,,
Platinum Girl Scout Cookies,aaa x bbb,Durban Poison,OG Kush,,
Plushberry,aaa x bbb,Black Cherry Soda,Space Queen,,
Pre-98 Bubba Kush,aaa,Bubba Kush,,,
purple arrow,aaa x bbb,Purple Afghani,Hindu Kush,,
Purple Dream,aaa,Unknown Hybrid (Purple Dream Parent),,,
Qrazy Train,aaa x bbb,Blood Wreck,Querkle,,
Querkle,aaa x bbb,Purple Urkel,Space Queen,,
Raspberry Kush,aaa,Unknown Indica (Parent),,,
ReCon,bbb x aaa,Cannadential,LA Confidential,,
Red Diesel,aaa x bbb,"USA, California (Red Diesel Parent)",NYC Diesel,,
Red Dragon,aaa x bbb,Utopia Haze,"Himalaya, Afghanistan (Red Dragon Parent)",,
Royal Kush,aaa x bbb,Afghanistan,Skunk #1,,
Sage n Sour,aaa x bbb,S.A.G.E.,Sour Diesel,,
Skunk #1,aaa x bbb x ccc,Afghanistan (Skunk #1 Parent),Mexico (Skunk #1 Parent),Colombia (Skunk #1 Parent),
Sour Alien,aaa x bbb,Original Sour Diesel,Alien Kush,,
Sour Maui,aaa x bbb,Sour Diesel,Mauie Wowie,,
Sour Tsunami,aaa x {aaa x bbb},Sour Diesel,NYC Diesel,,
Sour Willie,aaa x bbb,Sour Diesel,Willie Nelson,,
Stardawg,aaa x bbb,Chem Dawg,Tres Dawg,,
Strawberry Kush,{aaa x bbb} x ccc,Bubblegum,OG Kush,Strawberry Cough,
Super Skunk,aaa x bbb,Skunk #1,Afghanistan (Super Skunk Parent),,
Sweet Skunk,aaa x bbb,Sweet Pink Grapefruit,Northern Lights x Haze,,
Tangerine,aaa,Aroma,,,
Tangerine Haze,aaa,G-13 Haze NYC Diesel,,,
Tangerine Kush,aaa x bbb,Tangerine Haze,Rare Dankness #1,,
Tangie,aaa x {bbb x ccc},California Orange,Skunk #1,Unknown Strain (Tangie Parent),
